x, y, vx, vy
44, 40, 6.99173, -1.07264
44, 44, 7.97313, -1.45728
44, 48, 9.59278, -1.9919
44, 52, 12.3293, -2.71838
44, 56, 13.4583, -2.8927
44, 60, 1.27103, -0.118932
44, 64, 0, 0
44, 68, 0, 0
44, 72, 0, 0
44, 76, 0, 0
44, 80, 0, 0
44, 84, 0, 0
44, 88, 0, 0
44, 92, 0, 0
44, 96, 0, 0
44, 100, 0, 0
44, 104, 0, 0
44, 108, 0, 0
44, 112, 0, 0
44, 116, 0, 0
44, 120, 0, 0
44, 124, 0, 0
44, 128, 0, 0
44, 132, 0, 0
44, 136, 0, 0
44, 140, 1.00129, 0.127829
44, 144, 12.8609, 3.13393
44, 148, 12.3337, 3.04996
44, 152, 9.67321, 2.25376
44, 156, 8.05126, 1.65699
44, 160, 7.05289, 1.22126
44, 164, 6.38406, 0.900987
44, 168, 5.92299, 0.674915
44, 172, 5.60419, 0.514016
44, 176, 5.37089, 0.389631
44, 180, 5.18229, 0.286646
44, 184, 5.02015, 0.198449
44, 188, 4.88548, 0.125154
44, 192, 4.78656, 0.0703582
44, 196, 4.72666, 0.035227
48, 0, 4.75191, 0.0147747
48, 4, 4.77295, 0.0417816
48, 8, 4.84346, 0.0516662
48, 12, 4.96145, 0.0365588
48, 16, 5.12026, -0.0119876
48, 20, 5.30754, -0.0969035
48, 24, 5.51612, -0.204225
48, 28, 5.76331, -0.316149
48, 32, 6.10233, -0.429494
48, 36, 6.61423, -0.569633
48, 40, 7.35808, -0.790133
48, 44, 8.43722, -1.11206
48, 48, 10.1807, -1.54489
48, 52, 12.9228, -2.02363
48, 56, 11.924, -1.60067
48, 60, 0.655235, -0.0555997
48, 64, 0, 0
48, 68, 0, 0
48, 72, 0, 0
48, 76, 0, 0
48, 80, 0, 0
48, 84, 0, 0
48, 88, 0, 0
48, 92, 0, 0
48, 96, 0, 0
48, 100, 0, 0
48, 104, 0, 0
48, 108, 0, 0
48, 112, 0, 0
48, 116, 0, 0
48, 120, 0, 0
48, 124, 0, 0
48, 128, 0, 0
48, 132, 0, 0
48, 136, 0, 0
48, 140, 0.189507, 0.127426
48, 144, 10.8522, 1.93088
48, 148, 13.1078, 2.45306
48, 152, 10.4082, 1.84718
48, 156, 8.58199, 1.31647
48, 160, 7.45556, 0.93644
48, 164, 6.68728, 0.679374
48, 168, 6.15761, 0.517983
48, 172, 5.80768, 0.392177
48, 176, 5.55463, 0.270773
48, 180, 5.3418, 0.154445
48, 184, 5.14949, 0.0597743
48, 188, 4.98413, 0.00198074
48, 192, 4.85866, -0.018883
48, 196, 4.78052, -0.0114724
52, 0, 4.76485, 0.0147278
52, 4, 4.78961, 0.0937358
52, 8, 4.87646, 0.163298
52, 12, 5.02849, 0.215194
52, 16, 5.23865, 0.225714
52, 20, 5.48269, 0.163503
52, 24, 5.72892, 0.029025
52, 28, 5.977, -0.134524
52, 32, 6.29557, -0.273995
52, 36, 6.82045, -0.373436
52, 40, 7.65525, -0.49447
52, 44, 8.82798, -0.705799
52, 48, 10.634, -0.976763
52, 52, 13.1025, -1.175
52, 56, 10.6953, -0.667509
52, 60, 0.321595, -0.0165125
52, 64, 0, 0
52, 68, 0, 0
52, 72, 0, 0
52, 76, 0, 0
52, 80, 0, 0
52, 84, 0, 0
52, 88, 0, 0
52, 92, 0, 0
52, 96, 0, 0
52, 100, 0, 0
52, 104, 0, 0
52, 108, 0, 0
52, 112, 0, 0
52, 116, 0, 0
52, 120, 0, 0
52, 124, 0, 0
52, 128, 0, 0
52, 132, 0, 0
52, 136, 0, 0
52, 140, -0.0898712, 0.114622
52, 144, 9.84312, 1.08746
52, 148, 13.4021, 1.57566
52, 152, 10.9503, 1.25931
52, 156, 9.02688, 0.903314
52, 160, 7.79496, 0.637921
52, 164, 6.92185, 0.4813
52, 168, 6.36543, 0.366064
52, 172, 6.03045, 0.218946
52, 176, 5.77655, 0.0460326
52, 180, 5.52733, -0.102081
52, 184, 5.27762, -0.178975
52, 188, 5.05859, -0.179449
52, 192, 4.89637, -0.132527
52, 196, 4.79935, -0.0641106
56, 0, 4.75715, 0.0171496
56, 4, 4.78, 0.0790074
56, 8, 4.86475, 0.15227
56, 12, 5.02656, 0.249361
56, 16, 5.27805, 0.356448
56, 20, 5.6072, 0.415645
56, 24, 5.95518, 0.359105
56, 28, 6.25141, 0.177089
56, 32, 6.52641, -0.0409827
56, 36, 6.97676, -0.177522
56, 40, 7.83504, -0.227178
56, 44, 9.08842, -0.316494
56, 48, 10.8881, -0.447965
56, 52, 13.0433, -0.494139
56, 56, 9.84643, -0.0894277
56, 60, 0.49015, -0.00484107
56, 64, 0, 0
56, 68, 0, 0
56, 72, 0, 0
56, 76, 0, 0
56, 80, 0, 0
56, 84, 0, 0
56, 88, 0, 0
56, 92, 0, 0
56, 96, 0, 0
56, 100, 0, 0
56, 104, 0, 0
56, 108, 0, 0
56, 112, 0, 0
56, 116, 0, 0
56, 120, 0, 0
56, 124, 0, 0
56, 128, 0, 0
56, 132, 0, 0
56, 136, 0, 0
56, 140, -0.131791, 0.0100048
56, 144, 8.65653, 0.0944302
56, 148, 13.3433, 0.686198
56, 152, 11.2777, 0.634458
56, 156, 9.3435, 0.464508
56, 160, 8.02061, 0.338951
56, 164, 7.09813, 0.273242
56, 168, 6.6028, 0.138276
56, 172, 6.31453, -0.0841494
56, 176, 6.01997, -0.285538
56, 180, 5.66941, -0.365582
56, 184, 5.32857, -0.321591
56, 188, 5.062, -0.219578
56, 192, 4.88641, -0.121384
56, 196, 4.79012, -0.0456844
60, 0, 4.78156, 0.0203151
60, 4, 4.79792, 0.0160757
60, 8, 4.86085, 0.0287069
60, 12, 4.98792, 0.0864797
60, 16, 5.21008, 0.208898
60, 20, 5.56225, 0.377544
60, 24, 6.03452, 0.518603
60, 28, 6.50552, 0.508638
60, 32, 6.83584, 0.304149
60, 36, 7.16173, 0.0761962
60, 40, 7.90466, 0.00973722
60, 44, 9.19855, 0.013479
60, 48, 10.9719, -0.0346712
60, 52, 12.8989, -0.0363261
60, 56, 9.25738, 0.251126
60, 60, 0.82449, 0.138698
60, 64, 0, 0
60, 68, 0, 0
60, 72, 0, 0
60, 76, 0, 0
60, 80, 0, 0
60, 84, 0, 0
60, 88, 0, 0
60, 92, 0, 0
60, 96, 0, 0
60, 100, 0, 0
60, 104, 0, 0
60, 108, 0, 0
60, 112, 0, 0
60, 116, 0, 0
60, 120, 0, 0
60, 124, 0, 0
60, 128, 0, 0
60, 132, 0, 0
60, 136, 0, 0
60, 140, 0.134535, -0.0352109
60, 144, 7.90353, -0.32642
60, 148, 13.0806, 0.124331
60, 152, 11.3757, 0.168868
60, 156, 9.48517, 0.107085
60, 160, 8.11147, 0.0876908
60, 164, 7.27758, 0.0277156
60, 168, 6.91487, -0.195447
60, 172, 6.59472, -0.426843
60, 176, 6.12945, -0.474107
60, 180, 5.63961, -0.351303
60, 184, 5.26255, -0.183416
60, 188, 5.02042, -0.0556901
60, 192, 4.87951, 0.00752197
60, 196, 4.80645, 0.0235336
